posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
19146;8018119;TEAM LEADER DSW 1, PROFILO & SUPPLY;19140;50124;30124;10134;;GT_STFF;
19147;8018018;ASST. PLANT HEAD NON MANUFACTURING;19152;50124;30124;0;;GT_SMGR;
19148;8018120;TEAM LEADER DSW 1, PROFILO & SUPPLY;19140;50124;30124;10134;;GT_STFF;
19149;8018019;ASST. PLANT HEAD MANUFACTURING;19152;50124;30124;0;;GT_SMGR;
19150;8018121;TEAM LEADER DSW 1, PROFILO & SUPPLY;19140;50124;30124;10134;;GT_STFF;
19151;8018122;TEAM LEADER DSW 1, PROFILO & SUPPLY;19140;50124;30124;10134;;GT_STFF;
19152;8018020;PLANT HEAD PCR;8492;50124;30124;0;;GT_GM;
19154;8018124;OPERATOR DSW 1, PROFILO & SUPPLY;19146;50124;30124;10134;;GT_WRKR;
19156;8018126;OPERATOR DSW 1, PROFILO & SUPPLY;19148;50124;30124;10134;;GT_WRKR;
19158;8018128;OPERATOR DSW 1, PROFILO & SUPPLY;19150;50124;30124;10134;;GT_WRKR;
19160;8018130;OPERATOR DSW 1, PROFILO & SUPPLY;19151;50124;30124;10134;;GT_WRKR;
19163;8018132;SECTION HEAD SIDEWALL ASSEMBLY PLANT D;19137;50124;30124;10134;;GT_SPV;
19168;8018137;TEAM LEADER DSW 2, PRE ASSEMBLY & SUPPLY;19163;50124;30124;10134;;GT_STFF;
19169;8018138;TEAM LEADER DSW 2, PRE ASSEMBLY & SUPPLY;19163;50124;30124;10134;;GT_STFF;
